number,millisec,type
0,4,token
1,4,token
2,3,token
3,3,token
4,5,token
5,4,token
6,3,token
7,4,token
8,6,token
9,5,token
10,5,token
11,5,token
12,5,token
13,5,token
14,4,token
15,4,token
16,4,token
17,4,token
18,4,token
19,4,token
20,4,token
21,4,token
22,4,token
23,4,token
24,4,token
25,4,token
26,5,token
27,3,token
28,3,token
29,4,token
30,4,token
31,4,token
32,3,token
33,5,token
34,4,token
35,4,token
36,4,token
37,4,token
38,4,token
39,4,token
40,4,token
41,4,token
42,4,token
43,4,token
44,4,token
45,4,token
46,3,token
47,4,token
48,3,token
49,4,token
50,4,token
51,3,token
52,3,token
53,3,token
54,4,token
55,4,token
56,4,token
57,4,token
58,4,token
59,4,token
60,4,token
61,4,token
62,3,token
63,4,token
64,4,token
65,3,token
66,3,token
67,4,token
68,3,token
69,3,token
70,4,token
71,4,token
72,4,token
73,4,token
74,3,token
75,3,token
76,5,token
77,4,token
78,3,token
79,3,token
80,513,submission
81,945,submission
82,1428,submission
83,1887,submission
84,2378,submission
85,2901,submission
86,3399,submission
87,3901,submission
88,4274,submission
89,4744,submission
90,4,token
91,5,token
92,4,token
93,4,token
94,4,token
95,4,token
96,4,token
97,5,token
98,4,token
99,4,token
100,4,token
101,4,token
102,4,token
103,4,token
104,4,token
105,4,token
106,4,token
107,5,token
108,4,token
109,5,token
110,4,token
111,4,token
112,4,token
113,4,token
114,9,token
115,48,token
116,97,token
117,28,token
118,4,token
119,4,token
120,6,token
121,5,token
122,4,token
123,4,token
124,4,token
125,4,token
126,4,token
127,4,token
128,4,token
129,4,token
130,14,token
131,26,token
132,30,token
133,4,token
134,4,token
135,4,token
136,4,token
137,5,token
138,4,token
139,4,token
140,4,token
141,4,token
142,4,token
143,5,token
144,4,token
145,4,token
146,4,token
147,4,token
148,4,token
149,4,token
150,6,token
151,4,token
152,4,token
153,4,token
154,4,token
155,4,token
156,4,token
157,5,token
158,4,token
159,4,token
160,4,token
161,4,token
162,4,token
163,4,token
164,5,token
165,4,token
166,4,token
167,4,token
168,4,token
169,4,token
170,5826,submission
171,5966,submission
172,6438,submission
173,6929,submission
174,7469,submission
175,7954,submission
176,8470,submission
177,8971,submission
178,9498,submission
179,10004,submission
180,10482,submission
181,10973,submission
182,11439,submission
183,11938,submission
184,12456,submission
185,12965,submission
186,13443,submission
187,13925,submission
188,14526,submission
189,15050,submission
190,15610,submission
191,16139,submission
192,16694,submission
193,17182,submission
194,17694,submission
195,18196,submission
196,18728,submission
197,19231,submission
198,19773,submission
199,20282,submission
200,20717,submission
201,21084,submission
202,21567,submission
203,21953,submission
204,22342,submission
205,22669,submission
206,23031,submission
207,23579,submission
208,23953,submission
209,24329,submission
210,24687,submission
211,25074,submission
212,25644,submission
213,26068,submission
214,26492,submission
215,26870,submission
216,27268,submission
217,27656,submission
218,28067,submission
219,28450,submission
220,28852,submission
221,29221,submission
222,29628,submission
223,30179,submission
224,31546,submission
225,31957,submission
226,30088,delivery
227,26220,submission
228,26710,submission
229,27200,submission
230,27203,submission
231,27207,submission
232,27736,submission
233,28196,submission
234,28737,submission
235,29228,submission
236,30178,submission
237,30678,submission
238,31213,submission
239,31839,submission
240,32324,submission
241,32856,submission
242,33356,submission
243,33359,submission
244,33361,submission
245,33913,submission
246,34458,submission
247,34461,submission
248,35161,submission
249,35642,submission
250,36142,submission
251,36660,submission
252,37151,submission
253,37154,submission
254,37685,submission
255,38211,submission
256,38217,submission
257,38737,submission
258,39221,submission
259,39890,submission
260,40473,submission
261,40993,submission
262,41570,submission
263,42113,submission
264,42661,submission
265,43169,submission
266,43689,submission
267,44187,submission
268,44189,submission
269,44596,submission
270,44988,submission
271,45432,submission
272,45841,submission
273,46259,submission
274,46261,submission
275,46263,submission
276,46650,submission
277,47067,submission
278,47453,submission
279,47893,submission
280,47897,submission
281,48311,submission
282,48701,submission
283,49086,submission
284,49530,submission
285,49538,submission
286,49972,submission
287,50381,submission
288,50821,submission
289,51238,submission
290,51758,submission
291,51765,submission
292,52203,submission
293,52563,submission
294,52988,submission
295,53415,submission
296,53422,submission
297,53841,submission
298,54242,submission
299,54640,submission
300,55082,submission
301,55481,submission
302,55902,submission
303,56316,submission
304,56717,submission
305,57125,submission
306,57524,submission
